Order_ID,Date,User_Name,Pages,Print_Type,Copies,Total_Pages_Printed,Rate_per_Page,Shop_Earning,App_Earning,Total_Amount,Payment_Method,Order_Status
TOK00001,2024-02-26,User_1070,39,Color,2,78,1.5,97.5,19.5,117.0,UPI,Completed
TOK00002,2025-10-30,User_522,11,Color,2,22,1.5,27.5,5.5,33.0,UPI,Completed
TOK00003,2025-02-19,User_70,18,Black & White,2,36,1.5,45.0,9.0,54.0,UPI,Completed
TOK00004,2025-12-03,User_709,50,Black & White,1,50,1.5,62.5,12.5,75.0,UPI,Completed
TOK00005,2024-05-07,User_656,23,Black & White,3,69,1.5,86.25,17.25,103.5,UPI,Completed
TOK00006,2023-11-19,User_1157,28,Black & White,1,28,1.5,35.0,7.0,42.0,UPI,Completed
TOK00007,2024-10-10,User_481,13,Black & White,3,39,1.5,48.75,9.75,58.5,UPI,Completed
TOK00008,2025-04-12,User_1114,9,Black & White,1,9,1.5,11.25,2.25,13.5,UPI,Completed
TOK00009,2023-07-10,User_1146,28,Color,1,28,1.5,35.0,7.0,42.0,UPI,Completed
TOK00010,2023-01-14,User_623,26,Black & White,1,26,1.5,32.5,6.5,39.0,UPI,Completed
TOK00011,2023-04-07,User_301,8,Black & White,1,8,1.5,10.0,2.0,12.0,UPI,Completed
TOK00012,2025-04-23,User_548,12,Color,2,24,1.5,30.0,6.0,36.0,UPI,Completed
TOK00013,2024-10-03,User_1112,23,Color,2,46,1.5,57.5,11.5,69.0,UPI,Completed
TOK00014,2024-06-26,User_287,5,Black & White,3,15,1.5,18.75,3.75,22.5,UPI,Completed
TOK00015,2023-07-21,User_44,18,Color,2,36,1.5,45.0,9.0,54.0,UPI,Completed
TOK00016,2023-02-23,User_164,46,Color,2,92,1.5,115.0,23.0,138.0,UPI,Completed
TOK00017,2023-04-19,User_365,11,Black & White,1,11,1.5,13.75,2.75,16.5,UPI,Completed
TOK00018,2025-08-11,User_1177,36,Black & White,1,36,1.5,45.0,9.0,54.0,UPI,Completed
TOK00019,2024-06-28,User_353,8,Black & White,3,24,1.5,30.0,6.0,36.0,UPI,Completed
TOK00020,2025-06-10,User_244,41,Black & White,1,41,1.5,51.25,10.25,61.5,UPI,Completed
TOK00021,2023-07-18,User_1166,40,Black & White,3,120,1.5,150.0,30.0,180.0,UPI,Completed
TOK00022,2023-01-19,User_90,31,Black & White,2,62,1.5,77.5,15.5,93.0,UPI,Completed
TOK00023,2023-04-24,User_845,18,Black & White,2,36,1.5,45.0,9.0,54.0,UPI,Completed
TOK00024,2024-05-28,User_806,12,Black & White,3,36,1.5,45.0,9.0,54.0,UPI,Completed
TOK00025,2024-08-08,User_1084,32,Color,2,64,1.5,80.0,16.0,96.0,UPI,Completed
TOK00026,2023-09-08,User_1078,25,Color,1,25,1.5,31.25,6.25,37.5,UPI,Completed
TOK00027,2024-08-05,User_114,21,Black & White,1,21,1.5,26.25,5.25,31.5,UPI,Completed
TOK00028,2025-01-20,User_1189,6,Color,1,6,1.5,7.5,1.5,9.0,UPI,Completed
TOK00029,2025-05-17,User_801,22,Black & White,1,22,1.5,27.5,5.5,33.0,UPI,Completed
TOK00030,2024-12-06,User_642,42,Color,1,42,1.5,52.5,10.5,63.0,UPI,Completed
TOK00031,2023-10-29,User_412,9,Black & White,1,9,1.5,11.25,2.25,13.5,UPI,Completed
TOK00032,2023-11-05,User_757,10,Color,3,30,1.5,37.5,7.5,45.0,UPI,Completed
TOK00033,2023-11-05,User_85,27,Black & White,1,27,1.5,33.75,6.75,40.5,UPI,Completed
TOK00034,2025-03-16,User_1066,11,Color,2,22,1.5,27.5,5.5,33.0,UPI,Completed
TOK00035,2023-12-01,User_483,2,Black & White,1,2,1.5,2.5,0.5,3.0,UPI,Completed
TOK00036,2023-08-26,User_554,3,Black & White,2,6,1.5,7.5,1.5,9.0,UPI,Completed
TOK00037,2023-10-03,User_681,19,Black & White,1,19,1.5,23.75,4.75,28.5,UPI,Completed
TOK00038,2023-10-05,User_403,15,Color,1,15,1.5,18.75,3.75,22.5,UPI,Completed
TOK00039,2025-12-08,User_717,13,Black & White,3,39,1.5,48.75,9.75,58.5,UPI,Completed
TOK00040,2025-01-15,User_976,21,Black & White,3,63,1.5,78.75,15.75,94.5,UPI,Completed
TOK00041,2025-09-13,User_308,39,Black & White,3,117,1.5,146.25,29.25,175.5,UPI,Completed
TOK00042,2024-06-29,User_918,20,Color,1,20,1.5,25.0,5.0,30.0,UPI,Completed
TOK00043,2024-11-20,User_211,22,Black & White,1,22,1.5,27.5,5.5,33.0,UPI,Completed
TOK00044,2025-10-28,User_363,23,Color,1,23,1.5,28.75,5.75,34.5,UPI,Completed
TOK00045,2024-09-14,User_595,3,Black & White,3,9,1.5,11.25,2.25,13.5,UPI,Completed
TOK00046,2024-12-18,User_258,7,Color,3,21,1.5,26.25,5.25,31.5,UPI,Completed
TOK00047,2023-05-02,User_539,9,Color,1,9,1.5,11.25,2.25,13.5,UPI,Completed
TOK00048,2024-05-24,User_132,32,Black & White,2,64,1.5,80.0,16.0,96.0,UPI,Completed
TOK00049,2024-06-06,User_1119,16,Black & White,1,16,1.5,20.0,4.0,24.0,UPI,Completed
TOK00050,2024-03-05,User_304,32,Black & White,3,96,1.5,120.0,24.0,144.0,UPI,Completed
TOK00051,2024-01-26,User_20,44,Color,3,132,1.5,165.0,33.0,198.0,UPI,Completed
TOK00052,2023-12-16,User_1032,42,Color,3,126,1.5,157.5,31.5,189.0,UPI,Completed
TOK00053,2023-09-04,User_294,28,Black & White,1,28,1.5,35.0,7.0,42.0,UPI,Completed
TOK00054,2024-01-27,User_246,2,Color,3,6,1.5,7.5,1.5,9.0,UPI,Completed
TOK00055,2023-12-25,User_70,24,Black & White,3,72,1.5,90.0,18.0,108.0,UPI,Completed
TOK00056,2025-01-05,User_633,29,Color,1,29,1.5,36.25,7.25,43.5,UPI,Completed
TOK00057,2024-07-05,User_1115,30,Color,3,90,1.5,112.5,22.5,135.0,UPI,Completed
TOK00058,2025-02-01,User_24,42,Color,3,126,1.5,157.5,31.5,189.0,UPI,Completed
TOK00059,2023-07-16,User_978,38,Black & White,2,76,1.5,95.0,19.0,114.0,UPI,Completed
TOK00060,2025-10-15,User_475,26,Black & White,2,52,1.5,65.0,13.0,78.0,UPI,Completed
TOK00061,2025-02-26,User_651,19,Color,2,38,1.5,47.5,9.5,57.0,UPI,Completed
TOK00062,2025-06-25,User_518,13,Color,1,13,1.5,16.25,3.25,19.5,UPI,Completed
TOK00063,2025-03-18,User_1156,43,Color,1,43,1.5,53.75,10.75,64.5,UPI,Completed
TOK00064,2025-04-29,User_799,30,Black & White,1,30,1.5,37.5,7.5,45.0,UPI,Completed
TOK00065,2025-12-17,User_166,32,Color,3,96,1.5,120.0,24.0,144.0,UPI,Completed
TOK00066,2023-10-20,User_649,45,Black & White,3,135,1.5,168.75,33.75,202.5,UPI,Completed
TOK00067,2024-08-07,User_1200,34,Black & White,1,34,1.5,42.5,8.5,51.0,UPI,Completed
TOK00068,2023-11-28,User_520,33,Color,1,33,1.5,41.25,8.25,49.5,UPI,Completed
TOK00069,2025-10-20,User_391,14,Black & White,1,14,1.5,17.5,3.5,21.0,UPI,Completed
TOK00070,2023-11-13,User_997,30,Black & White,1,30,1.5,37.5,7.5,45.0,UPI,Completed
TOK00071,2025-12-04,User_698,31,Color,3,93,1.5,116.25,23.25,139.5,UPI,Completed
TOK00072,2025-06-20,User_912,50,Color,2,100,1.5,125.0,25.0,150.0,UPI,Completed
TOK00073,2024-10-08,User_859,19,Color,1,19,1.5,23.75,4.75,28.5,UPI,Completed
